Updated,Country,Cases,Today Cases,Deaths,Today Deaths,Total Recovered,Today Recovered,Active,Critical,Tests,Population,Continent
1706090159724,Afghanistan,230907,0,7980,0,209549,0,13378,0,1351124,40754388,Asia
1706090159716,Albania,334726,0,3604,0,330233,0,889,0,1941032,2866374,Europe
1706090159719,Algeria,272010,0,6881,0,183061,0,82068,0,230960,45350148,Africa
1706090159770,Andorra,48015,0,165,0,0,0,47850,0,249838,77463,Europe
1706090159745,Angola,106720,0,1937,0,103419,0,1364,0,1499795,35027343,Africa
1706090159842,Anguilla,3904,0,12,0,0,0,3892,0,51382,15230,North America
1706090159829,Antigua and Barbuda,9106,0,146,0,8954,0,6,0,18901,99509,North America
1706090159603,Argentina,10080046,0,130685,0,9949361,0,0,0,35716069,46010234,South America
1706090159707,Armenia,451426,0,8776,0,435162,0,7488,0,3242901,2971966,Asia
1706090159773,Aruba,44224,0,292,0,42438,0,1494,2,177885,107609,North America
1706090159592,Australia,11745794,1475,23911,0,0,0,11721883,22,81916639,26068792,Australia-Oceania
1706090159616,Austria,6081287,0,22542,0,6054934,0,3811,0,211273524,9066710,Europe
1706090159686,Azerbaijan,834305,0,10379,0,823872,0,54,0,7733717,10300205,Asia
1706090159780,Bahamas,38084,0,844,0,36366,0,874,1,257839,400516,North America
1706090159688,Bahrain,729549,0,1574,0,727915,0,60,0,10948549,1783983,Asia
1706090159647,Bangladesh,2046599,0,29479,0,0,0,2017120,0,15254399,167885689,Asia
1706090159744,Barbados,110298,0,648,0,108647,0,1003,0,812248,288023,North America
1706090159682,Belarus,994037,0,7118,0,985592,0,1327,0,13646641,9432800,Europe
1706090159625,Belgium,4853153,0,34376,0,4811543,313,7234,0,37454182,11668278,Europe
1706090159758,Belize,71373,0,688,0,0,0,70685,0,576016,412190,North America
1706090159791,Benin,28036,0,163,0,27847,0,26,0,604310,12784726,Africa
1706090159806,Bermuda,18860,0,165,0,18685,0,10,0,1029558,61939,North America
1706090159764,Bhutan,62697,0,21,0,61564,0,1112,0,2303734,787941,Asia
1706090159670,Bolivia,1211716,0,22407,0,1177145,0,12164,220,2710261,11992656,South America
1706090159708,Bosnia,403508,0,16380,0,379084,0,8044,0,1884721,3249317,Europe
1706090159717,Botswana,330442,0,2801,0,327049,0,592,1,2026898,2441162,Africa
1706090159582,Brazil,38264864,0,708999,0,36249161,0,1306704,0,63776166,215353593,South America
1706090159833,British Virgin Islands,7392,0,64,0,0,0,7328,0,107339,30596,North America
1706090159715,Brunei,338569,0,225,0,243601,0,94743,3,717784,445431,Asia
1706090159660,Bulgaria,1337834,0,38719,0,1291711,0,7404,36,11571103,6844597,Europe
1706090159801,Burkina Faso,22109,0,400,0,21596,0,113,0,248995,22102838,Africa
1706090159767,Burundi,54721,0,38,0,53569,0,1114,0,345742,12624840,Africa
1706090159761,Cabo Verde,64477,0,417,0,63755,0,305,23,401622,567678,Africa
1706090159740,Cambodia,139064,0,3056,0,135998,0,10,0,3091420,17168639,Asia
1706090159742,Cameroon,125248,0,1974,0,123273,0,1,0,1751774,27911548,Africa
